name,phone,email,tax_id,contact_person,address,is_active
Nova Exports,+91-9100000000,nova.exports111@rediff.com,IN2339187582,Anita Joshi,"317 Nehru Nagar, Kanpur, MH",false
Elite Distributors,+91-9100000001,elite.distributors908@rediff.com,IN1995892885,Priya Verma,"506 Residency Road, Patna, MH",true
Fusion Distributors,+91-9100000002,fusion.distributors555@hotmail.com,IN6202801331,Raj Sharma,"169 FC Road, Hyderabad, WB",true
Vertex Imports,+91-9100000003,vertex.imports744@yahoo.com,IN3930207589,Rahul Desai,"721 Park Street, Kochi, MH",false
Fusion Exports,+91-9100000004,fusion.exports788@gmail.com,IN8032044711,Sneha Desai,"558 Nehru Nagar, Kolkata, KL",true
Elite Exports,+91-9100000005,elite.exports238@gmail.com,IN3954224363,Anita Roy,"463 Salt Lake, Hyderabad, UP",true
Quantum Holdings,+91-9100000006,quantum.holdings797@gmail.com,IN7217510290,Arjun Reddy,"890 Nehru Nagar, Kochi, MH",true
Fusion Traders,+91-9100000007,fusion.traders908@rediff.com,IN1494380151,Sneha Verma,"805 Sector 22, Kanpur, KL",true
Nova Holdings,+91-9100000008,nova.holdings709@rediff.com,IN4943447498,Sneha Sharma,"850 Salt Lake, Kochi, MH",false
Fusion Enterprises,+91-9100000009,fusion.enterprises426@outlook.com,IN1575226647,Neha Sharma,"157 Residency Road, Bengaluru, KA",false
Nimbus Traders,+91-9100000010,nimbus.traders812@hotmail.com,IN6375756428,Neha Malhotra,"259 Nehru Nagar, Patna, CH",false
Prime Distributors,+91-9100000011,prime.distributors213@gmail.com,IN9779341514,Sneha Kumar,"664 Nehru Nagar, Kanpur, BR",false
Prime Imports,+91-9100000012,prime.imports739@hotmail.com,IN6869330290,Anita Kumar,"576 Civil Lines, Kochi, TS",false
Vertex Distributors,+91-9100000013,vertex.distributors187@gmail.com,IN5152712318,Mohit Mehta,"225 Sector 22, Kochi, WB",false
Prime Holdings,+91-9100000014,prime.holdings648@yahoo.com,IN1020238374,Sneha Mehta,"211 Residency Road, Pune, UP",false
Elite Logistics,+91-9100000015,elite.logistics535@rediff.com,IN1691907498,Raj Reddy,"536 FC Road, Kolkata, DL",true
Nimbus Supplies,+91-9100000016,nimbus.supplies284@yahoo.com,IN2110579367,Arjun Verma,"621 MG Road, Kanpur, DL",true
Nova Holdings,+91-9100000017,nova.holdings563@gmail.com,IN2580018891,Karan Verma,"546 Nehru Nagar, Kanpur, CH",false
Prime Exports,+91-9100000018,prime.exports181@rediff.com,IN4847644165,Karan Reddy,"807 MG Road, Patna, BR",false
Nova Enterprises,+91-9100000019,nova.enterprises187@rediff.com,IN7491057403,Mohit Mehta,"381 Nehru Nagar, Kochi, MH",false
Zenith Enterprises,+91-9100000020,zenith.enterprises100@yahoo.com,IN8142028070,Mohit Kumar,"220 Salt Lake, Mumbai, KL",false
Quantum Traders,+91-9100000021,quantum.traders593@outlook.com,IN7049009789,Rahul Nair,"334 FC Road, Patna, KL",true
Prime Imports,+91-9100000022,prime.imports818@rediff.com,IN9156737553,Sneha Roy,"844 FC Road, Bengaluru, KA",true
Quantum Distributors,+91-9100000023,quantum.distributors244@rediff.com,IN6521223814,Divya Reddy,"100 Salt Lake, Patna, BR",true
Summit Solutions,+91-9100000024,summit.solutions896@outlook.com,IN7180370295,Karan Nair,"737 Park Street, Hyderabad, KL",false
Vertex Enterprises,+91-9100000025,vertex.enterprises556@hotmail.com,IN2812269689,Mohit Mehta,"568 MG Road, Hyderabad, BR",false
Zenith Holdings,+91-9100000026,zenith.holdings786@gmail.com,IN1799505807,Neha Reddy,"388 Sector 22, Kochi, DL",false
Fusion Enterprises,+91-9100000027,fusion.enterprises573@gmail.com,IN3371378620,Rahul Reddy,"405 MG Road, Kochi, TS",true
Prime Enterprises,+91-9100000028,prime.enterprises870@rediff.com,IN9126223483,Anita Nair,"12 FC Road, Kolkata, KA",true
Zenith Holdings,+91-9100000029,zenith.holdings863@outlook.com,IN7958569279,Divya Verma,"995 Sector 22, Bengaluru, WB",false
Elite Holdings,+91-9100000030,elite.holdings591@yahoo.com,IN5660820061,Mohit Roy,"764 Jubilee Hills, Hyderabad, DL",false
Elite Traders,+91-9100000031,elite.traders225@outlook.com,IN4499020007,Divya Mehta,"415 Park Street, Kochi, TS",false
Quantum Supplies,+91-9100000032,quantum.supplies127@outlook.com,IN5346632235,Priya Roy,"167 Civil Lines, Chandigarh, UP",false
Elite Supplies,+91-9100000033,elite.supplies515@rediff.com,IN3430046360,Mohit Nair,"695 MG Road, Delhi, CH",true
Zenith Traders,+91-9100000034,zenith.traders911@yahoo.com,IN3212043008,Rahul Sharma,"828 Marine Drive, Hyderabad, CH",false
Global Traders,+91-9100000035,global.traders640@rediff.com,IN2409308249,Arjun Desai,"600 Jubilee Hills, Delhi, MH",true
Quantum Solutions,+91-9100000036,quantum.solutions631@outlook.com,IN9173841775,Mohit Kumar,"605 Residency Road, Delhi, DL",false
